timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-05-09,535.0000,538.4900,531.1000,537.6800,269.6725,3893500,0.0000,1.0000
2011-05-06,538.1500,541.4600,535.1800,535.3000,268.4788,4108000,0.0000,1.0000
2011-05-05,533.8600,539.4212,531.5000,534.2700,267.9622,3991600,0.0000,1.0000
2011-05-04,535.1700,539.0000,533.0200,535.7900,268.7245,4229700,0.0000,1.0000
2011-05-03,537.1300,542.0100,529.6300,533.8900,267.7716,4158800,0.0000,1.0000
2011-05-02,545.7000,545.7300,537.1200,538.5600,270.1138,4263100,0.0000,1.0000
2011-04-29,540.0000,544.1000,538.5100,544.1000,272.8924,8448500,0.0000,1.0000
2011-04-28,538.0600,539.2480,534.0800,537.9700,269.8179,3996000,0.0000,1.0000
2011-04-27,538.0000,538.1100,534.3500,537.7600,269.7126,4592200,0.0000,1.0000
2011-04-26,526.5200,537.4399,525.2100,532.8200,267.2349,6993000,0.0000,1.0000
2011-04-25,525.2500,527.0000,522.0100,525.0500,263.3379,3258300,0.0000,1.0000
2011-04-21,527.4900,528.2800,522.3900,525.1000,263.3630,4935200,0.0000,1.0000
2011-04-20,525.9000,526.8200,521.3900,525.7300,263.6790,6113800,0.0000,1.0000
2011-04-19,529.9500,530.8800,520.9000,521.5300,261.5724,5362800,0.0000,1.0000
2011-04-18,526.4200,527.6640,519.0000,526.8400,264.2357,10069500,0.0000,1.0000
2011-04-15,545.2900,545.7500,530.0600,530.7000,266.1716,28059300,0.0000,1.0000
2011-04-14,575.1900,579.4500,572.1000,578.5100,290.1507,10901600,0.0000,1.0000
2011-04-13,575.5100,577.6000,571.7500,576.2800,289.0322,4134600,0.0000,1.0000
2011-04-12,575.0000,576.9150,568.0500,570.6100,286.1884,4167000,0.0000,1.0000
2011-04-11,576.2000,578.1000,573.0000,577.3700,289.5789,3712600,0.0000,1.0000
2011-04-08,584.8864,584.8900,578.0600,578.1600,289.9751,3799700,0.0000,1.0000
2011-04-07,575.7300,580.6400,574.1900,580.0000,290.8980,5057900,0.0000,1.0000
2011-04-06,572.1800,575.1600,568.0000,574.1800,287.9790,5331200,0.0000,1.0000
2011-04-05,581.0800,581.4900,565.6800,569.0900,285.4261,12082900,0.0000,1.0000
2011-04-04,593.0000,594.7400,583.1000,587.6800,294.7499,4104800,0.0000,1.0000
2011-04-01,588.7600,595.1900,588.7600,591.8000,296.8162,5221100,0.0000,1.0000
2011-03-31,583.0000,588.1612,581.7400,586.7600,294.2884,4054700,0.0000,1.0000
2011-03-30,584.3800,585.5000,580.5819,581.8400,291.8208,2841700,0.0000,1.0000
2011-03-29,576.0000,581.8900,573.0100,581.7300,291.7657,3206300,0.0000,1.0000
2011-03-28,582.0700,584.9900,574.7100,575.3600,288.5708,4432300,0.0000,1.0000
2011-03-25,586.8800,586.9100,579.2400,579.7400,290.7676,5711000,0.0000,1.0000
2011-03-24,585.4300,588.3900,578.8000,586.8900,294.3536,4193200,0.0000,1.0000
2011-03-23,575.1900,582.4500,572.0000,582.1600,291.9813,3628700,0.0000,1.0000
2011-03-22,577.2700,579.2300,572.5100,577.3200,289.5538,3770000,0.0000,1.0000
2011-03-21,570.2200,579.8000,569.0200,576.5000,289.1426,6035700,0.0000,1.0000
2011-03-18,564.6400,567.9900,559.7400,561.0600,281.3987,6590600,0.0000,1.0000
2011-03-17,564.4800,569.0000,560.5400,561.3600,281.5491,5792800,0.0000,1.0000
2011-03-16,568.0100,569.7900,551.2801,557.1000,279.4125,7589400,0.0000,1.0000
2011-03-15,557.5000,571.0000,555.5000,569.5600,285.6618,8003100,0.0000,1.0000
2011-03-14,572.8000,578.2900,568.0200,569.9900,285.8775,5626500,0.0000,1.0000
2011-03-11,578.2200,580.0000,573.3300,576.7100,289.2479,6057900,0.0000,1.0000
2011-03-10,585.4400,586.6200,579.4500,580.3000,291.0484,6249900,0.0000,1.0000
2011-03-09,591.0000,594.5100,585.7510,591.7700,296.8012,4297600,0.0000,1.0000
2011-03-08,592.9300,597.9800,590.2000,592.3100,297.0720,4565200,0.0000,1.0000
2011-03-07,600.5500,603.6900,587.0000,591.6600,296.7460,6918400,0.0000,1.0000
2011-03-04,608.3300,608.9800,600.2000,600.6200,301.2399,6015900,0.0000,1.0000
2011-03-03,606.3800,611.4900,605.0000,609.5600,305.7237,3886700,0.0000,1.0000
2011-03-02,599.8000,606.0000,595.1900,600.7900,301.3252,4049300,0.0000,1.0000
2011-03-01,617.7800,619.2200,599.3035,600.7600,301.3101,6639700,0.0000,1.0000
2011-02-28,610.0000,616.4900,608.0100,613.4000,307.6497,4558400,0.0000,1.0000
2011-02-25,611.8600,614.7200,609.5000,610.0400,305.9645,3860900,0.0000,1.0000
2011-02-24,611.3900,613.0900,601.3500,608.8200,305.3526,5417900,0.0000,1.0000
2011-02-23,610.3300,614.7000,604.0000,611.3200,306.6065,5773400,0.0000,1.0000
2011-02-22,620.0300,624.9300,607.7700,610.2100,306.0497,7272500,0.0000,1.0000
2011-02-18,626.0000,631.1800,624.1800,630.0800,316.0155,6429300,0.0000,1.0000
2011-02-17,621.2500,627.2500,620.2800,625.2600,313.5980,2954600,0.0000,1.0000
2011-02-16,625.6300,626.5000,622.1000,624.2200,313.0764,3364600,0.0000,1.0000
2011-02-15,627.3200,630.0900,623.1000,624.1500,313.0413,4179800,0.0000,1.0000
2011-02-14,623.3400,629.6390,620.0400,628.1500,315.0475,4251700,0.0000,1.0000
2011-02-11,613.7900,625.0000,613.0000,624.5000,313.2169,5174600,0.0000,1.0000
2011-02-10,613.9000,617.5000,611.5600,616.4400,309.1744,4664100,0.0000,1.0000
2011-02-09,616.8700,619.4500,612.3400,616.5000,309.2045,3681300,0.0000,1.0000
